dataset,description
annotations,The full set of annotations for the majority of benchmarks.
full_scale,The full scale version of all videos.  (Provide `benchmarks` or `video_uids` filters to reduce the 5TB download size.)
clips,Clips available for benchmark training tasks.  (Provide `benchmarks` or `video_uids` filters to reduce the download size.) 
video_540ss,The downscaled version of all videos - rescaled to 540px on the short side.  (Provide `benchmarks` or `video_uids` filters to reduce the 5TB download size.) 
annotations_540ss,The annotations corresponding to the downscaled `video_540ss` videos - primarily differing only in spatial annotations (e.g. bounding boxes). 
3d,Annotations for the 3D VQ benchmark. 
3d_scans,3D location scans for the 3D VQ benchmark. 
3d_scan_keypoints,3D location scan keypoints for the 3D VQ benchmark. 
imu,IMU data for the subset of videos available 
slowfast8x8_r101_k400,Precomputed [action features](https://ego4d-data.org/docs/data/features/) for the Slowfast 8x8 (R101) model 
omnivore_video_swinl,Precomputed [action features](https://ego4d-data.org/docs/data/features/) for the Omnivore Video model 
omnivore_image_swinl,Precomputed [action features](https://ego4d-data.org/docs/data/features/) for the Omnivore Image model 
fut_loc,Images and annotations for the future locomotion benchmark. 
av_models,Model checkpoints for the AV/Social benchmark. 
lta_models,Model checkpoints for the Long Term Anticipation benchmark. 
moments_models,Model checkpoints for the Moments benchmark. 
nlq_models,Model checkpoints for the NLQ benchmark. 
sta_models,Model checkpoints for the Short Term Anticipation benchmark. 
vq2d_models,Model checkpoints for the 2D VQ benchmark. 
